"","t","x","y","match","team","player","won","tstd","tsync","tper","tier","zone"
"1",730266,23,15,"569649581","radiant","%40Foggeddota",1,933,0,0,"Pro","base1 radiant"
"2",730266,23,15,"569649581","radiant","%40Foggeddota",1,933,1,4.38590143212839e-07,"Pro","base1 radiant"
"3",731333,25,16,"569649581","radiant","%40Foggeddota",1,2000,2,8.77180286425679e-07,"Pro","base1 radiant"
"4",732200,26,18,"569649581","radiant","%40Foggeddota",1,2867,3,1.31577042963852e-06,"Pro","base1 radiant"
"5",732800,27,19,"569649581","radiant","%40Foggeddota",1,3467,4,1.75436057285136e-06,"Pro","base1 radiant"
"6",734200,29,21,"569649581","radiant","%40Foggeddota",1,4867,5,2.1929507160642e-06,"Pro","base1 radiant"
"7",735066,29,23,"569649581","radiant","%40Foggeddota",1,5733,6,2.63154085927704e-06,"Pro","base1 radiant"
"8",736066,30,25,"569649581","radiant","%40Foggeddota",1,6733,7,3.07013100248988e-06,"Pro","base1 radiant"
"9",737066,31,27,"569649581","radiant","%40Foggeddota",1,7733,8,3.50872114570272e-06,"Pro","base1 radiant"
"10",738333,33,28,"569649581","radiant","%40Foggeddota",1,9000,9,3.94731128891556e-06,"Pro","midlane radiant"
"11",739266,35,28,"569649581","radiant","%40Foggeddota",1,9933,10,4.38590143212839e-06,"Pro","midlane radiant"
"12",740200,37,28,"569649581","radiant","%40Foggeddota",1,10867,11,4.82449157534123e-06,"Pro","midlane radiant"
"13",741133,39,28,"569649581","radiant","%40Foggeddota",1,11800,12,5.26308171855407e-06,"Pro","midlane radiant"
"14",742066,41,28,"569649581","radiant","%40Foggeddota",1,12733,13,5.70167186176691e-06,"Pro","jungle radiant"
"15",743200,42,30,"569649581","radiant","%40Foggeddota",1,13867,14,6.14026200497975e-06,"Pro","midlane radiant"
"16",743933,43,31,"569649581","radiant","%40Foggeddota",1,14600,15,6.57885214819259e-06,"Pro","midlane radiant"
"17",745066,45,31,"569649581","radiant","%40Foggeddota",1,15733,16,7.01744229140543e-06,"Pro","jungle radiant"
"18",746266,47,31,"569649581","radiant","%40Foggeddota",1,16933,17,7.45603243461827e-06,"Pro","jungle radiant"
"19",747200,49,32,"569649581","radiant","%40Foggeddota",1,17867,18,7.89462257783111e-06,"Pro","jungle radiant"
"20",748133,51,32,"569649581","radiant","%40Foggeddota",1,18800,19,8.33321272104395e-06,"Pro","jungle radiant"
"21",749266,53,33,"569649581","radiant","%40Foggeddota",1,19933,20,8.77180286425679e-06,"Pro","jungle radiant"
"22",750133,54,35,"569649581","radiant","%40Foggeddota",1,20800,21,9.21039300746963e-06,"Pro","jungle radiant"
"23",751000,55,36,"569649581","radiant","%40Foggeddota",1,21667,22,9.64898315068247e-06,"Pro","jungle radiant"
"24",752333,57,37,"569649581","radiant","%40Foggeddota",1,23000,23,1.00875732938953e-05,"Pro","jungle radiant"
"25",752933,58,38,"569649581","radiant","%40Foggeddota",1,23600,24,1.05261634371081e-05,"Pro","jungle radiant"
"26",754133,60,39,"569649581","radiant","%40Foggeddota",1,24800,25,1.0964753580321e-05,"Pro","jungle radiant"
"27",755066,62,39,"569649581","radiant","%40Foggeddota",1,25733,26,1.14033437235338e-05,"Pro","jungle radiant"
"28",756000,64,39,"569649581","radiant","%40Foggeddota",1,26667,27,1.18419338667467e-05,"Pro","jungle radiant"
"29",757333,67,39,"569649581","radiant","%40Foggeddota",1,28000,28,1.22805240099595e-05,"Pro","jungle radiant"
"30",758266,69,40,"569649581","radiant","%40Foggeddota",1,28933,29,1.27191141531723e-05,"Pro","jungle radiant"
"31",759200,71,40,"569649581","radiant","%40Foggeddota",1,29867,30,1.31577042963852e-05,"Pro","jungle radiant"
"32",760133,73,40,"569649581","radiant","%40Foggeddota",1,30800,31,1.3596294439598e-05,"Pro","jungle radiant"
"33",761066,75,41,"569649581","radiant","%40Foggeddota",1,31733,32,1.40348845828109e-05,"Pro","jungle radiant"
"34",762000,77,41,"569649581","radiant","%40Foggeddota",1,32667,33,1.44734747260237e-05,"Pro","void radiant"
"35",763333,75,42,"569649581","radiant","%40Foggeddota",1,34000,34,1.49120648692365e-05,"Pro","void radiant"
"36",763933,74,41,"569649581","radiant","%40Foggeddota",1,34600,35,1.53506550124494e-05,"Pro","jungle radiant"
"37",765000,72,40,"569649581","radiant","%40Foggeddota",1,35667,36,1.57892451556622e-05,"Pro","jungle radiant"
"38",765933,70,39,"569649581","radiant","%40Foggeddota",1,36600,37,1.62278352988751e-05,"Pro","jungle radiant"
"39",766933,70,37,"569649581","radiant","%40Foggeddota",1,37600,38,1.66664254420879e-05,"Pro","jungle radiant"
"40",768333,70,34,"569649581","radiant","%40Foggeddota",1,39000,39,1.71050155853007e-05,"Pro","jungle radiant"
"41",769266,71,32,"569649581","radiant","%40Foggeddota",1,39933,40,1.75436057285136e-05,"Pro","jungle radiant"
"42",770200,71,30,"569649581","radiant","%40Foggeddota",1,40867,41,1.79821958717264e-05,"Pro","jungle radiant"
"43",771333,73,28,"569649581","radiant","%40Foggeddota",1,42000,42,1.84207860149393e-05,"Pro","jungle radiant"
"44",772333,75,28,"569649581","radiant","%40Foggeddota",1,43000,43,1.88593761581521e-05,"Pro","jungle radiant"
"45",773200,77,28,"569649581","radiant","%40Foggeddota",1,43867,44,1.92979663013649e-05,"Pro","jungle radiant"
"46",774133,79,28,"569649581","radiant","%40Foggeddota",1,44800,45,1.97365564445778e-05,"Pro","jungle radiant"
"47",775266,81,29,"569649581","radiant","%40Foggeddota",1,45933,46,2.01751465877906e-05,"Pro","jungle radiant"
"48",776333,83,30,"569649581","radiant","%40Foggeddota",1,47000,47,2.06137367310035e-05,"Pro","jungle radiant"
"49",776333,83,30,"569649581","radiant","%40Foggeddota",1,47000,48,2.10523268742163e-05,"Pro","jungle radiant"
"50",778333,85,29,"569649581","radiant","%40Foggeddota",1,49000,49,2.14909170174291e-05,"Pro","jungle radiant"
"51",779266,87,29,"569649581","radiant","%40Foggeddota",1,49933,50,2.1929507160642e-05,"Pro","jungle radiant"
"52",780200,89,29,"569649581","radiant","%40Foggeddota",1,50867,51,2.23680973038548e-05,"Pro","jungle radiant"
"53",781333,91,28,"569649581","radiant","%40Foggeddota",1,52000,52,2.28066874470677e-05,"Pro","jungle radiant"
"54",782066,92,30,"569649581","radiant","%40Foggeddota",1,52733,53,2.32452775902805e-05,"Pro","jungle radiant"
"55",782066,92,30,"569649581","radiant","%40Foggeddota",1,52733,54,2.36838677334933e-05,"Pro","jungle radiant"
"56",782066,92,30,"569649581","radiant","%40Foggeddota",1,52733,55,2.41224578767062e-05,"Pro","jungle radiant"
"57",784533,93,30,"569649581","radiant","%40Foggeddota",1,55200,56,2.4561048019919e-05,"Pro","jungle radiant"
"58",786266,92,29,"569649581","radiant","%40Foggeddota",1,56933,57,2.49996381631318e-05,"Pro","jungle radiant"
"59",787333,89,30,"569649581","radiant","%40Foggeddota",1,58000,58,2.54382283063447e-05,"Pro","jungle radiant"
"60",788200,87,30,"569649581","radiant","%40Foggeddota",1,58867,59,2.58768184495575e-05,"Pro","jungle radiant"
"61",789133,85,30,"569649581","radiant","%40Foggeddota",1,59800,60,2.63154085927704e-05,"Pro","jungle radiant"
"62",790133,83,31,"569649581","radiant","%40Foggeddota",1,60800,61,2.67539987359832e-05,"Pro","jungle radiant"
"63",791200,82,33,"569649581","radiant","%40Foggeddota",1,61867,62,2.7192588879196e-05,"Pro","jungle radiant"
"64",792200,81,35,"569649581","radiant","%40Foggeddota",1,62867,63,2.76311790224089e-05,"Pro","jungle radiant"
"65",792200,81,35,"569649581","radiant","%40Foggeddota",1,62867,64,2.80697691656217e-05,"Pro","jungle radiant"
"66",792200,81,35,"569649581","radiant","%40Foggeddota",1,62867,65,2.85083593088346e-05,"Pro","jungle radiant"
"67",792200,81,35,"569649581","radiant","%40Foggeddota",1,62867,66,2.89469494520474e-05,"Pro","jungle radiant"
"68",792200,81,35,"569649581","radiant","%40Foggeddota",1,62867,67,2.93855395952602e-05,"Pro","jungle radiant"
"69",792200,81,35,"569649581","radiant","%40Foggeddota",1,62867,68,2.98241297384731e-05,"Pro","jungle radiant"
"70",792200,81,35,"569649581","radiant","%40Foggeddota",1,62867,69,3.02627198816859e-05,"Pro","jungle radiant"
"71",792200,81,35,"569649581","radiant","%40Foggeddota",1,62867,70,3.07013100248988e-05,"Pro","jungle radiant"
"72",792200,81,35,"569649581","radiant","%40Foggeddota",1,62867,71,3.11399001681116e-05,"Pro","jungle radiant"
"73",792200,81,35,"569649581","radiant","%40Foggeddota",1,62867,72,3.15784903113244e-05,"Pro","jungle radiant"
"74",792200,81,35,"569649581","radiant","%40Foggeddota",1,62867,73,3.20170804545373e-05,"Pro","jungle radiant"
"75",792200,81,35,"569649581","radiant","%40Foggeddota",1,62867,74,3.24556705977501e-05,"Pro","jungle radiant"
"76",792200,81,35,"569649581","radiant","%40Foggeddota",1,62867,75,3.2894260740963e-05,"Pro","jungle radiant"
"77",805000,80,37,"569649581","radiant","%40Foggeddota",1,75667,76,3.33328508841758e-05,"Pro","jungle radiant"
"78",806266,78,39,"569649581","radiant","%40Foggeddota",1,76933,77,3.37714410273886e-05,"Pro","jungle radiant"
"79",807333,76,40,"569649581","radiant","%40Foggeddota",1,78000,78,3.42100311706015e-05,"Pro","jungle radiant"
"80",808266,74,40,"569649581","radiant","%40Foggeddota",1,78933,79,3.46486213138143e-05,"Pro","jungle radiant"
"81",809266,72,39,"569649581","radiant","%40Foggeddota",1,79933,80,3.50872114570272e-05,"Pro","jungle radiant"
"82",810133,70,39,"569649581","radiant","%40Foggeddota",1,80800,81,3.552580160024e-05,"Pro","jungle radiant"
"83",811066,68,39,"569649581","radiant","%40Foggeddota",1,81733,82,3.59643917434528e-05,"Pro","jungle radiant"
"84",812000,66,40,"569649581","radiant","%40Foggeddota",1,82667,83,3.64029818866657e-05,"Pro","jungle radiant"
"85",812933,66,39,"569649581","radiant","%40Foggeddota",1,83600,84,3.68415720298785e-05,"Pro","jungle radiant"
"86",813666,67,38,"569649581","radiant","%40Foggeddota",1,84333,85,3.72801621730914e-05,"Pro","jungle radiant"
"87",815133,67,40,"569649581","radiant","%40Foggeddota",1,85800,86,3.77187523163042e-05,"Pro","jungle radiant"
