"","t","x","y","match","team","player","won","tstd","tsync","tper","tier","zone"
"1",889533,116,87,"591798786","dire","%5BHyperX%5D%20Liquid%60BuLba",1,0,0,0,"Pro","base2 dire"
"2",889933,116,86,"591798786","dire","%5BHyperX%5D%20Liquid%60BuLba",1,400,1,3.40124485561716e-07,"Pro","base2 dire"
"3",891466,114,87,"591798786","dire","%5BHyperX%5D%20Liquid%60BuLba",1,1933,2,6.80248971123431e-07,"Pro","base2 dire"
"4",892400,112,88,"591798786","dire","%5BHyperX%5D%20Liquid%60BuLba",1,2867,3,1.02037345668515e-06,"Pro","base2 dire"
"5",893266,110,88,"591798786","dire","%5BHyperX%5D%20Liquid%60BuLba",1,3733,4,1.36049794224686e-06,"Pro","base2 dire"
"6",894200,108,88,"591798786","dire","%5BHyperX%5D%20Liquid%60BuLba",1,4667,5,1.70062242780858e-06,"Pro","base2 dire"
"7",895000,106,88,"591798786","dire","%5BHyperX%5D%20Liquid%60BuLba",1,5467,6,2.04074691337029e-06,"Pro","base2 dire"
"8",896533,108,86,"591798786","dire","%5BHyperX%5D%20Liquid%60BuLba",1,7000,7,2.38087139893201e-06,"Pro","base2 dire"
"9",897333,109,84,"591798786","dire","%5BHyperX%5D%20Liquid%60BuLba",1,7800,8,2.72099588449372e-06,"Pro","base2 dire"
"10",898200,110,82,"591798786","dire","%5BHyperX%5D%20Liquid%60BuLba",1,8667,9,3.06112037005544e-06,"Pro","base2 dire"
"11",899200,111,80,"591798786","dire","%5BHyperX%5D%20Liquid%60BuLba",1,9667,10,3.40124485561716e-06,"Pro","base2 dire"
"12",900066,112,79,"591798786","dire","%5BHyperX%5D%20Liquid%60BuLba",1,10533,11,3.74136934117887e-06,"Pro","base2 dire"
"13",900600,112,78,"591798786","dire","%5BHyperX%5D%20Liquid%60BuLba",1,11067,12,4.08149382674059e-06,"Pro","base2 dire"
"14",900600,112,78,"591798786","dire","%5BHyperX%5D%20Liquid%60BuLba",1,11067,13,4.4216183123023e-06,"Pro","base2 dire"
"15",900600,112,78,"591798786","dire","%5BHyperX%5D%20Liquid%60BuLba",1,11067,14,4.76174279786402e-06,"Pro","base2 dire"
"16",904133,112,79,"591798786","dire","%5BHyperX%5D%20Liquid%60BuLba",1,14600,15,5.10186728342573e-06,"Pro","base2 dire"
"17",905533,113,81,"591798786","dire","%5BHyperX%5D%20Liquid%60BuLba",1,16000,16,5.44199176898745e-06,"Pro","base2 dire"
"18",906066,114,82,"591798786","dire","%5BHyperX%5D%20Liquid%60BuLba",1,16533,17,5.78211625454917e-06,"Pro","base2 dire"
"19",906866,113,82,"591798786","dire","%5BHyperX%5D%20Liquid%60BuLba",1,17333,18,6.12224074011088e-06,"Pro","base2 dire"
"20",906866,113,82,"591798786","dire","%5BHyperX%5D%20Liquid%60BuLba",1,17333,19,6.4623652256726e-06,"Pro","base2 dire"
"21",906866,113,82,"591798786","dire","%5BHyperX%5D%20Liquid%60BuLba",1,17333,20,6.80248971123431e-06,"Pro","base2 dire"
"22",906866,113,82,"591798786","dire","%5BHyperX%5D%20Liquid%60BuLba",1,17333,21,7.14261419679603e-06,"Pro","base2 dire"
"23",906866,113,82,"591798786","dire","%5BHyperX%5D%20Liquid%60BuLba",1,17333,22,7.48273868235774e-06,"Pro","base2 dire"
"24",906866,113,82,"591798786","dire","%5BHyperX%5D%20Liquid%60BuLba",1,17333,23,7.82286316791946e-06,"Pro","base2 dire"
"25",906866,113,82,"591798786","dire","%5BHyperX%5D%20Liquid%60BuLba",1,17333,24,8.16298765348117e-06,"Pro","base2 dire"
"26",906866,113,82,"591798786","dire","%5BHyperX%5D%20Liquid%60BuLba",1,17333,25,8.50311213904289e-06,"Pro","base2 dire"
