"","t","x","y","match","team","player","won","tstd","tsync","tper","tier","zone"
"1",780033,118,106,"593144800","dire","%5BHyperX%5D%20Liquid%60qojqva",0,2467,0,0,"Pro","base2 dire"
"2",780033,118,106,"593144800","dire","%5BHyperX%5D%20Liquid%60qojqva",0,2467,1,3.14458882299927e-07,"Pro","base2 dire"
"3",780033,118,106,"593144800","dire","%5BHyperX%5D%20Liquid%60qojqva",0,2467,2,6.28917764599854e-07,"Pro","base2 dire"
"4",780033,118,106,"593144800","dire","%5BHyperX%5D%20Liquid%60qojqva",0,2467,3,9.43376646899781e-07,"Pro","base2 dire"
"5",780033,118,106,"593144800","dire","%5BHyperX%5D%20Liquid%60qojqva",0,2467,4,1.25783552919971e-06,"Pro","base2 dire"
"6",780033,118,106,"593144800","dire","%5BHyperX%5D%20Liquid%60qojqva",0,2467,5,1.57229441149964e-06,"Pro","base2 dire"
"7",780033,118,106,"593144800","dire","%5BHyperX%5D%20Liquid%60qojqva",0,2467,6,1.88675329379956e-06,"Pro","base2 dire"
"8",780033,118,106,"593144800","dire","%5BHyperX%5D%20Liquid%60qojqva",0,2467,7,2.20121217609949e-06,"Pro","base2 dire"
"9",780033,118,106,"593144800","dire","%5BHyperX%5D%20Liquid%60qojqva",0,2467,8,2.51567105839942e-06,"Pro","base2 dire"
"10",780033,118,106,"593144800","dire","%5BHyperX%5D%20Liquid%60qojqva",0,2467,9,2.83012994069934e-06,"Pro","base2 dire"
"11",780033,118,106,"593144800","dire","%5BHyperX%5D%20Liquid%60qojqva",0,2467,10,3.14458882299927e-06,"Pro","base2 dire"
"12",780033,118,106,"593144800","dire","%5BHyperX%5D%20Liquid%60qojqva",0,2467,11,3.4590477052992e-06,"Pro","base2 dire"
"13",780033,118,106,"593144800","dire","%5BHyperX%5D%20Liquid%60qojqva",0,2467,12,3.77350658759913e-06,"Pro","base2 dire"
"14",780033,118,106,"593144800","dire","%5BHyperX%5D%20Liquid%60qojqva",0,2467,13,4.08796546989905e-06,"Pro","base2 dire"
"15",780033,118,106,"593144800","dire","%5BHyperX%5D%20Liquid%60qojqva",0,2467,14,4.40242435219898e-06,"Pro","base2 dire"
"16",780033,118,106,"593144800","dire","%5BHyperX%5D%20Liquid%60qojqva",0,2467,15,4.71688323449891e-06,"Pro","base2 dire"
"17",780033,118,106,"593144800","dire","%5BHyperX%5D%20Liquid%60qojqva",0,2467,16,5.03134211679883e-06,"Pro","base2 dire"
"18",780033,118,106,"593144800","dire","%5BHyperX%5D%20Liquid%60qojqva",0,2467,17,5.34580099909876e-06,"Pro","base2 dire"
"19",780033,118,106,"593144800","dire","%5BHyperX%5D%20Liquid%60qojqva",0,2467,18,5.66025988139869e-06,"Pro","base2 dire"
"20",780033,118,106,"593144800","dire","%5BHyperX%5D%20Liquid%60qojqva",0,2467,19,5.97471876369862e-06,"Pro","base2 dire"
"21",780033,118,106,"593144800","dire","%5BHyperX%5D%20Liquid%60qojqva",0,2467,20,6.28917764599854e-06,"Pro","base2 dire"
"22",780033,118,106,"593144800","dire","%5BHyperX%5D%20Liquid%60qojqva",0,2467,21,6.60363652829847e-06,"Pro","base2 dire"
"23",780033,118,106,"593144800","dire","%5BHyperX%5D%20Liquid%60qojqva",0,2467,22,6.9180954105984e-06,"Pro","base2 dire"
"24",780033,118,106,"593144800","dire","%5BHyperX%5D%20Liquid%60qojqva",0,2467,23,7.23255429289832e-06,"Pro","base2 dire"
"25",780033,118,106,"593144800","dire","%5BHyperX%5D%20Liquid%60qojqva",0,2467,24,7.54701317519825e-06,"Pro","base2 dire"
"26",780033,118,106,"593144800","dire","%5BHyperX%5D%20Liquid%60qojqva",0,2467,25,7.86147205749818e-06,"Pro","base2 dire"
"27",780033,118,106,"593144800","dire","%5BHyperX%5D%20Liquid%60qojqva",0,2467,26,8.1759309397981e-06,"Pro","base2 dire"
"28",780033,118,106,"593144800","dire","%5BHyperX%5D%20Liquid%60qojqva",0,2467,27,8.49038982209803e-06,"Pro","base2 dire"
"29",780033,118,106,"593144800","dire","%5BHyperX%5D%20Liquid%60qojqva",0,2467,28,8.80484870439796e-06,"Pro","base2 dire"
"30",780033,118,106,"593144800","dire","%5BHyperX%5D%20Liquid%60qojqva",0,2467,29,9.11930758669789e-06,"Pro","base2 dire"
"31",780033,118,106,"593144800","dire","%5BHyperX%5D%20Liquid%60qojqva",0,2467,30,9.43376646899781e-06,"Pro","base2 dire"
"32",780033,118,106,"593144800","dire","%5BHyperX%5D%20Liquid%60qojqva",0,2467,31,9.74822535129774e-06,"Pro","base2 dire"
"33",780033,118,106,"593144800","dire","%5BHyperX%5D%20Liquid%60qojqva",0,2467,32,1.00626842335977e-05,"Pro","base2 dire"
"34",780033,118,106,"593144800","dire","%5BHyperX%5D%20Liquid%60qojqva",0,2467,33,1.03771431158976e-05,"Pro","base2 dire"
"35",780033,118,106,"593144800","dire","%5BHyperX%5D%20Liquid%60qojqva",0,2467,34,1.06916019981975e-05,"Pro","base2 dire"
